"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"1","NEW YORK UNIVERSITY","THE TORCH CLUB","18 WAVERLY PLACE","","NEW YORK","NY",10003,40.73022495,-73.99468872,"(40.73022495, -73.99468872)"
"2","SALMAGUNDI CLUB INC","","47 5TH AVENUE","","NEW YORK","NY",10003,40.73441277,-73.99467317,"(40.73441277, -73.99467317)"
"3","NATIONAL ARTS CLUB, THE","","15 GRAMERCY PARK S","","NEW YORK","NY",10003,40.73781161,-73.98654384,"(40.73781161, -73.98654384)"
"4","UKRAINIAN AMERICAN SOCCER","ASSOCIATION INC","122 2ND AVENUE GR FL","","NEW YORK","NY",10003,40.72816332,-73.98790286,"(40.72816332, -73.98790286)"
"5","DOWN TOWN ASSOCIATION","","60 62 64 PINE STREET","AKA 20 22 24 CEDAR STREET","NEW YORK","NY",10005,40.70653859,-74.00818758,"(40.70653859, -74.00818758)"
"6","SERGEANTS MESS OF THE 69TH INFANTRY INC.","","68 LEXINGTON AVENUE","2ND FLOOR","NEW YORK","NY",10010,40.74106161,-73.98360934,"(40.74106161, -73.98360934)"
"7","TIRO A SEGNO OF N Y INC","","73 75 77 MAC DOUGAL ST","","NEW YORK","NY",10012,40.72858855,-74.00176564,"(40.72858855, -74.00176564)"
"8","ESTONIAN EDUCATIONAL","SOCIETY INC","243 E 34TH ST","","NEW YORK","NY",10016,40.74512268,-73.97654995,"(40.74512268, -73.97654995)"
"9","UNION LEAGUE CLUB,THE","","38 E 37TH STREET","","NEW YORK","NY",10016,40.74943875,-73.9811967,"(40.74943875, -73.9811967)"
"10","CORNELL CENTER OF NEW YORK INC","","6 E 44TH STREET","","NEW YORK","NY",10017,40.754574,-73.979627,"(40.754574, -73.979627)"
"11","YALE CLUB OF NEW YORK CITY,THE","","50 VANDERBILT AVE","","NEW YORK","NY",10017,40.75373687,-73.97747607,"(40.75373687, -73.97747607)"
"12","CENTRAL FILING CLUB LTD","C/O BBDO NEW YORK","1285 AVENUE OF THE AMERICAS","","NEW YORK","NY",10019,40.76070483,-73.97989374,"(40.76070483, -73.97989374)"
"13","CLUB METROPOLITAN INC","","146 W 57TH STREET","","NEW YORK","NY",10019,40.76483529,-73.97855523,"(40.76483529, -73.97855523)"
"14","NEW YORK ATHLETIC CLUB,THE","NEW YORK ATHLETIC CLUB","180 CENTRAL PARK SOUTH","","NEW YORK","NY",10019,40.76658982,-73.97854878,"(40.76658982, -73.97854878)"
"15","NIPPON CLUB INC,THE","","145 W 57TH STREET","CELLAR TO 7TH FLOOR","NEW YORK","NY",10019,40.7649079,-73.9784302,"(40.7649079, -73.9784302)"
"16","UNIVERSITY CLUB,THE","","1  W 54TH STREET","","NEW YORK","NY",10019,40.76112249,-73.97539931,"(40.76112249, -73.97539931)"
"17","WOMENS NATIONAL REPUBLICAN CLUB INC","","3 W 51ST STREET","","NEW YORK","NY",10019,40.75929954,-73.97691088,"(40.75929954, -73.97691088)"
"18","COLONY CLUB","","564 PARK AVE","","NEW YORK","NY",10021,40.7650366,-73.96846162,"(40.7650366, -73.96846162)"
"19","COLUMBUS CITIZENS HOUSE INC","COLUMBUS CITIZENS FND","8 E 69TH STREET","","NEW YORK","NY",10021,40.77023166,-73.96793008,"(40.77023166, -73.96793008)"
"20","GRIFFIS FACULTY CLUB INC","","521 E 68TH STREET","","NEW YORK","NY",10021,40.76423694,-73.95535453,"(40.76423694, -73.95535453)"
"21","KNICKERBOCKER CLUB INC","","807 5TH AVENUE","","NEW YORK","NY",10021,40.76596066,-73.97166753,"(40.76596066, -73.97166753)"
"22","LINKS CLUB INC","THE LINKS","36 E 62ND ST","","NEW YORK","NY",10065,40.76532747,-73.96988248,"(40.76532747, -73.96988248)"
"23","LOTOS CLUB INC","","5 E 66TH STREET","","NEW YORK","NY",10021,40.76860587,-73.96959584,"(40.76860587, -73.96959584)"
"24","MEMORIAL SLOAN KETTERING","CANCER CENTER","1233 YORK AVE","AKA 430 E 67TH ST","NEW YORK","NY",10021,40.76365968,-73.95614153,"(40.76365968, -73.95614153)"
"25","REGENCY WHIST CLUB INC","","15 E 67TH STREET","ATTN MARGIE GEWIRTZ","NEW YORK","NY",10065,NA,NA,""
"26","SOCIETY OF ILLUSTRATORS INC","","128 E 63RD STREET","","NEW YORK","NY",10065,40.76482577,-73.96673971,"(40.76482577, -73.96673971)"
"27","COSMOPOLITAN CLUB,THE","","122 E 66TH ST & 129 E 65TH ST","","NEW YORK","NY",10065,40.76669874,-73.9653711,"(40.76669874, -73.9653711)"
"28","JUNIOR LEAGUE OF THE,THE","CITY OF NEW YORK INC","128 130 E 80TH STREET","","NEW YORK","NY",10075,40.77584852,-73.95905923,"(40.77584852, -73.95905923)"
