"","zipcode","V1"
"2",10001,7
"3",10002,6
"4",10003,6
"5",10004,3
"6",10005,2
"7",10006,3
"8",10007,14
"9",10009,1
"10",10010,3
"11",10011,9
"12",10012,4
"13",10013,8
"14",10014,2
"15",10016,2
"16",10017,3
"17",10018,3
"18",10019,9
"19",10020,1
"20",10022,5
"21",10023,3
"22",10024,4
"23",10025,5
"24",10026,3
"25",10027,4
"26",10028,1
"27",10029,3
"28",10031,3
"29",10032,6
"30",10033,3
"31",10034,4
"32",10035,1
"33",10036,4
"34",10037,1
"35",10038,5
"36",10039,3
"37",10040,4
"39",10065,2
"40",10075,1
"41",10128,1
