"","zipcode","bus","subway","sum","Ranking.sub","Ranking.bus","Ranking"
"1",10007,2,14,16,1,40.5,10
"2",10011,15,9,24,2.5,22,5
"3",10019,28,9,37,2.5,9,1
"4",10013,8,8,16,4,34,11
"5",10001,15,7,22,5,22,7
"6",10002,35,6,41,7,4.5,2.5
"7",10003,18,6,24,7,16,6
"8",10032,35,6,41,7,4.5,2.5
"9",10022,14,5,19,10,25.5,12
"10",10025,45,5,50,10,2,4
"11",10038,13,5,18,10,27,13
"12",10012,5,4,9,14.5,36,22
"13",10024,30,4,34,14.5,7.5,9
"14",10027,47,4,51,14.5,1,8
"15",10034,15,4,19,14.5,22,14.5
"16",10036,12,4,16,14.5,28.5,18
"17",10040,15,4,19,14.5,22,14.5
"18",10004,2,3,5,23,40.5,29
"19",10006,1,3,4,23,44.5,31
"20",10010,27,3,30,23,10,19
"21",10017,14,3,17,23,25.5,25
"22",10018,7,3,10,23,35,27
"23",10023,34,3,37,23,6,17
"24",10026,20,3,23,23,13,21
"25",10029,43,3,46,23,3,16
"26",10031,26,3,29,23,11,20
"27",10033,16,3,19,23,19,23
"28",10039,15,3,18,23,22,24
"29",10005,3,2,5,30.5,37.5,35
"30",10014,10,2,12,30.5,31.5,33.5
"31",10016,22,2,24,30.5,12,26
"32",10065,10,2,12,30.5,31.5,33.5
"33",10009,30,1,31,36,7.5,28
"34",10020,3,1,4,36,37.5,41
"35",10028,12,1,13,36,28.5,36
"36",10035,19,1,20,36,14,30
"37",10037,10,1,11,36,31.5,37.5
"38",10075,18,1,19,36,16,32
"39",10128,10,1,11,36,31.5,37.5
"40",10021,17,0,17,43,18,40
"41",10030,18,0,18,43,16,39
"42",10110,1,0,1,43,44.5,45
"43",10112,1,0,1,43,44.5,45
"44",10123,2,0,2,43,40.5,42.5
"45",10280,2,0,2,43,40.5,42.5
"46",10282,1,0,1,43,44.5,45
