"","x"
"1","10001"
"2","10002"
"3","10003"
"4","10004"
"5","10005"
"6","10006"
"7","10007"
"8","10009"
"9","10010"
"10","10011"
"11","10012"
"12","10013"
"13","10014"
"14","10016"
"15","10017"
"16","10018"
"17","10019"
"18","10021"
"19","10022"
"20","10023"
"21","10024"
"22","10025"
"23","10026"
"24","10027"
"25","10028"
"26","10029"
"27","10030"
"28","10031"
"29","10032"
"30","10033"
"31","10034"
"32","10035"
"33","10036"
"34","10037"
"35","10038"
"36","10039"
"37","10040"
"38","10065"
"39","10069"
"40","10075"
"41","10128"
"42","10280"
"43","10282"
"44","11106"
"45","11109"
"46","11231"
