"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"1","CALSHEA RESTAURANT CORP","THE TRIPLE CROWN","330 7TH AVENUE","","NEW YORK","NY",10001,40.74753301,-73.99321126,"(40.74753301, -73.99321126)"
"2","CO'R RESTAURANT L L C","O'REILLY'S PUB & RESTAURANT","56 W 31ST STREET","","NEW YORK","NY",10001,40.74755694,-73.98850344,"(40.74755694, -73.98850344)"
"3","G G P BAR & GRILL CORP","KASTELI 11","372 8TH AVENUE","","NEW YORK","NY",10001,40.74873322,-73.99587745,"(40.74873322, -73.99587745)"
"4","GARRYMORE RESTAURANT INC","NILES","371 7TH AVENUE","","NEW YORK","NY",10001,40.74879376,-73.99214205,"(40.74879376, -73.99214205)"
"5","GENTS ENTERPRISES INC","KABOOZ'S BAR & GRILL","PENN STATION-MAIN CONCOURSE","","NEW YORK","NY",10001,40.7507815,-73.99440774,"(40.7507815, -73.99440774)"
"6","GOURMET MANAGEMENT CORP","T G I FRIDAYS","PENNSYLVANIA STATION","CERTAIN SPACE ON LEVELS A & B","NEW YORK","NY",10001,40.7507815,-73.99440774,"(40.7507815, -73.99440774)"
"7","HANBAT RESTAURANT INC","","53 W 35TH STREET","","NEW YORK","NY",10001,40.75001985,-73.98608797,"(40.75001985, -73.98608797)"
"8","N & A PRODUCTIONS INC","","27 W 35TH ST","","NEW YORK","NY",10001,40.7495886,-73.98504589,"(40.7495886, -73.98504589)"
"9","NATURAL TOFU RESTAURANT CORP","SEOUL GARDEN","34 W 32ND ST 2ND FLOOR","","NEW YORK","NY",10001,40.7480606,-73.9878183,"(40.7480606, -73.9878183)"
"10","SALUMERIA BIELLESE INC","","376 378 8TH AVENUE","","NEW YORK","NY",10001,40.74892465,-73.99573393,"(40.74892465, -73.99573393)"
"11","SERVICE AMERICA CORPORATION/JACOB K JAVITS CON CNT","CENTERPLATE","655 W 34TH STREET","","NEW YORK","NY",10001,40.7564836,-74.00350517,"(40.7564836, -74.00350517)"
"12","TOLEDO 35 INC","CHODANGGOL","55 W 35TH STREET","","NEW YORK","NY",10001,40.75005278,-73.98616686,"(40.75005278, -73.98616686)"
"13","VELKONEL RESTAURANT INC","CAFE 31","220 W 31ST STREET","","NEW YORK","NY",10001,40.74956082,-73.99323155,"(40.74956082, -73.99323155)"
"14","WALTERS BAR INC","","389 8TH AVE","","NEW YORK","NY",10001,40.74926322,-73.99565286,"(40.74926322, -73.99565286)"
"15","WALTPETERICH RESTAURANT INC","FOLEYS NY PUB  & RESTAURANT","18 W 33RD STREET","","NEW YORK","NY",10001,40.74795438,-73.9856276,"(40.74795438, -73.9856276)"
"16","34TH STREET DINER INC","TRATTORIA BIANCA","481 8TH AVE","STORE 2","NEW YORK","NY",10001,NA,NA,""
"17","350 SEVENTH AVE REST CORP","","350 7TH AVE","","NEW YORK","NY",10001,40.74810983,-73.99279725,"(40.74810983, -73.99279725)"
"18","352 RESTAURANT CORP","","352 7TH AVENUE","","NEW YORK","NY",10001,40.74816375,-73.99275878,"(40.74816375, -73.99275878)"
"19","400 WEST 23RD STREET REST CORP","THE RAIL LINE DINER","400 W 23RD STREET","","NEW YORK","NY",10011,40.74652105,-74.00140652,"(40.74652105, -74.00140652)"
"20","402 EIGHTH AVENUE REST INC","MOLLY WEE PUB","402 8TH AVENUE","","NEW YORK","NY",10001,40.74965511,-73.99520786,"(40.74965511, -73.99520786)"
"21","COCKTAIL BLUE LLC","THE BOWERY BALLROOM","6 8 DELANCEY STREET","","NEW YORK","NY",10002,40.7370191,-74.00531463,"(40.7370191, -74.00531463)"
"22","PASTA & POTATOES INC","VILLAGE LANTERN","167 BLEECKER ST","","NEW YORK","NY",10002,40.72877952,-74.00026563,"(40.72877952, -74.00026563)"
"23","JACOB & KELLY INC","BOB BAR","235 ELDRIDGE ST","","NEW YORK","NY",10002,40.72234371,-73.98988335,"(40.72234371, -73.98988335)"
