"","X","LOCATION","SHELTER_ID","the_geom","AT_BETWEEN","LONGITUDE","LATITUDE","zipcode"
"1",1491,"WATER ST","MN0003","POINT (-74.011064 40.702911)","BROAD ST",-74.011064,40.702911,10004
"2",1492,"WATER ST","MN0004","POINT (-74.007033 40.705301)","WALL ST",-74.007033,40.705301,10005
"3",1493,"PEARL ST","MN0007","POINT (-74.002906 40.708661)","PECK SLIP ST",-74.002906,40.708661,10038
"4",1494,"PEARL ST","MN0008","POINT (-74.002084 40.709025)","PECK SLIP ST",-74.002084,40.709025,10038
"5",1495,"PEARL ST","MN0009","POINT (-74.002178 40.70922900000001)","FRANKFORT ST",-74.002178,40.709229,10038
"6",1496,"FRANKFORT ST","MN0010","POINT (-74.001878 40.709547)","PEARL ST",-74.001878,40.709547,10038
"7",1497,"PEARL ST","MN0011","POINT (-74.00077 40.710473)","ROBERT F WAGNER Pl",-74.00077,40.710473,10038
"8",1498,"MADISON ST","MN0013","POINT (-73.999406 40.711889)","ST JAMES ST",-73.999406,40.711889,10038
"9",1499,"PARK ROW","MN0017","POINT (-74.006176 40.711813)","SPRUCE ST",-74.006176,40.711813,10038
"10",1500,"PARK ROW","MN0018","POINT (-74.00667 40.71169600000001)","BEEKMAN ST",-74.00667,40.711696,10038
"11",1501,"W BROADWAY","MN0019","POINT (-74.008651 40.716405)","DUANE ST",-74.008651,40.716405,10013
"12",1502,"VARICK ST","MN0023","POINT (-74.005717 40.726882)","CHARLTON ST",-74.005717,40.726882,10013
"13",1503,"6 AV","MN0024","POINT (-74.002559 40.728643)","W HOUSTON ST",-74.002559,40.728643,10014
"14",1504,"HOUSTON ST BETWEEN MERCER ST & GREENE ST","MN0025","POINT (-73.99783 40.72608000000001)","BETWEEN MERCER ST & GREENE ST",-73.99783,40.72608,10012
"15",1505,"W HOUSTON ST","MN0026","POINT (-73.999644 40.726979)","LA GUARDIA PL",-73.999644,40.726979,10012
"16",1506,"BOWERY","MN0027","POINT (-73.996399 40.715986)","CANAL ST",-73.996399,40.715986,10013
"17",1507,"GRAND ST","MN0031","POINT (-73.984556 40.715411)","PITT ST",-73.984556,40.715411,10002
"18",1508,"GRAND ST","MN0032","POINT (-73.981456 40.714516)","KAZAN ST",-73.981456,40.714516,10002
"19",1509,"GRAND ST","MN0034","POINT (-73.977907 40.71325)","FDR DR",-73.977907,40.71325,10002
"20",1510,"GRAND ST","MN0035","POINT (-73.978193 40.713563)","FDR DR",-73.978193,40.713563,10002
"21",1511,"AV A","MN0036","POINT (-73.985035 40.723834)","E 3 ST",-73.985035,40.723834,10009
"22",1512,"1 AV","MN0037","POINT (-73.988258 40.723429)","E 1 ST",-73.988258,40.723429,10009
"23",1513,"1 AV","MN0040","POINT (-73.982282 40.731525)","E 14 ST",-73.982282,40.731525,10003
"24",1514,"1 AV","MN0041","POINT (-73.981133 40.733105)","E 17 ST",-73.981133,40.733105,10003
"25",1515,"1 AV","MN0042","POINT (-73.97953 40.735304)","E 20 ST",-73.97953,40.735304,10010
"26",1516,"E 20 ST","MN0043","POINT (-73.978642 40.734614)","1 AV",-73.978642,40.734614,10010
"27",1517,"1 AV","MN0044","POINT (-73.978044 40.73734600000001)","E 23 ST",-73.978044,40.737346,10010
"28",1518,"E 23 ST","MN0045","POINT (-73.979064 40.737226)","1 AV",-73.979064,40.737226,10010
