"","name","address","lat","lon","zip","type"
"1","Two Boots Pioneer Theater","155 E 3rd St  New York, NY",40.7235936,-73.9848854,10009,"movie"
"2","Cinema Classics","332 E 11th St  New York, NY",40.729564,-73.9848514,10003,"movie"
"3","Landmark Sunshine Cinema","143 E Houston St  New York, NY",40.7230104,-73.9900275,10002,"movie"
"4","City Cinemas Village East","181 2nd Ave  New York, NY",40.7309294,-73.986157,10003,"movie"
"5","AMC Loews Village 7","66 3rd Ave  New York, NY",40.7315996,-73.9887879,10003,"movie"
"6","AMC Loews Kips Bay 15","570 2nd Ave  New York, NY",40.7428896,-73.9767193,10016,"movie"
"7","Regal Union Square Stadium 14","850 Broadway  New York, NY",40.7340543,-73.9905785,10003,"movie"
"8","AMC Loews 19th St. East 6","890 Broadway  New York, NY",40.7385438,-73.9895684,10003,"movie"
"9","Cinema Village","22 E 12th St  New York, NY",40.7338695,-73.9934938,10003,"movie"
"10","Quad Cinema","34 W 13th St  New York, NY",40.7359715,-73.9960648,10011,"movie"
"11","IFC Center","323 Avenue of the Americas  New York, NY",40.7312056,-74.0016722,10014,"movie"
"12","Film Forum","209 W Houston St  New York, NY",40.7283222,-74.0045071,10014,"movie"
"13","Clearview's 1st & 62nd Street","400 E 62nd St  New York, NY",40.7609297,-73.9599967,10065,"movie"
"14","AMC Theatres Empire 25","234 W 42nd St New York, NY",40.7564269,-73.9888338,10036,"movie"
"15","Angelika Film Center","18 W Houston St New York, NY",40.725844,-73.996975,10012,"movie"
"16","Anthology Film Archives","32 2nd Ave New York, NY",40.7246322,-73.9900275,10003,"movie"
"17","City Cinemas 1, 2, and 3","1001 3rd Ave New York, NY",40.7617983,-73.9660555,10022,"movie"
"18","City Cinemas E 86th","210 E 86th St New York, NY",40.7782674,-73.9534096,10028,"movie"
"19","Clearview 62nd and Broadway","1871 Broadway New York, NY",40.7703912,-73.982569,10023,"movie"
"20","Clearview Beekman One and Two","1271 2nd Ave New York, NY",40.7653672,-73.9613044,10065,"movie"
"21","Clearview Chelsea Cinemas","260 W 23rd St New York, NY",40.7448299,-73.998039,10011,"movie"
"22","Clearview Chelsea West Cinemas","333 W 23rd St New York, NY",40.7461019,-73.9998523,10011,"movie"
"23","Clearview Ziegfeld Theatre","141 W 54th St New York, NY",40.7631786,-73.9798106,10019,"movie"
"24","Emerging Cinemas","410 W 42nd St New York, NY",40.7583763,-73.9934141,10036,"movie"
"25","ImaginAsian","239 E 59th St New York, NY",40.7610377,-73.9648889,10022,"movie"
"26","LeFrak IMAX Theatre","79th St & Central W New York, NY",40.773813,-73.9561806,10075,"movie"
"27","Regal Battery Park Cinemas 11","102 N End Ave New York, NY",40.7150015,-74.0152218,10282,"movie"
"28","United Artists UA East","1629 1st Ave New York, NY",40.7758699,-73.9504664,10028,"movie"
"29","Walter Reade at Lincoln Center","165 W 65th St New York, NY",40.774062,-73.9840819,10023,"movie"
"30","United Artists 64th and 2nd","1210 2nd Ave New York, NY",40.7634084,-73.962103,10065,"movie"
"31","Symphony Space Leonard","2537 Broadway New York, NY",40.7939625,-73.9728154,10025,"movie"
"32","Paris Theatre","4 W 58th St New York, NY",40.7637525,-73.9743038,10019,"movie"
"33","AMC Loews Orpheum","1538 3rd Ave New York, NY",40.7793569,-73.9539644,10028,"movie"
"34","AMC Loews Lincoln Square","1998 Broadway New York, NY",40.7749745,-73.98164,10023,"movie"
"35","Lincoln Plaza Cinemas","30 Lincoln Center Plaza New York, NY",40.772748,-73.9838476,10023,"movie"
"36","Tribeca Cinemas","54 Varick St New York, NY",40.7215904,-74.0062847,10013,"movie"
"37","AMC Loews 34th Street","312 W 34th St New York, NY",40.7523527,-73.9944848,10001,"movie"
"38","AMC 72nd St East","1230 3rd Ave New York, NY",40.7693291,-73.9612597,10021,"movie"
"39","AMC Kips Bay","570 2nd Ave New York, NY",40.7428896,-73.9767193,10016,"movie"
"40","AMC Movies","208 W 84th St, New York, NY",40.7865336,-73.9768275,10024,"movie"
"41","East 86th St. Cinema","210 East 86th St, New York, NY",40.7782674,-73.9534096,10028,"movie"
"42","Film Society of Lincoln Center","70 Lincoln Center Plaza #4, New York, NY",40.7741882,-73.9842563,10023,"movie"
"43","The Paris Theatre","4 W 58th St, New York, NY",40.7637525,-73.9743038,10019,"movie"
