"","DBA","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","GRADE","ADDRESS","lon","lat"
"1","NEW DOUBLE DRAGON","37","1 AVENUE",10003,"2125980730","Chinese","A","37, 1 AVENUE, New York, NY",-73.9880763,40.7242202
"2","CHAPATI HOUSE","3153","BROADWAY",10027,"2127497200","Indian","A","3153, BROADWAY, New York, NY",-73.9595628,40.8146204
"3","FEI TENG RESTAURANT","68","EAST BROADWAY",10002,"2122748659","Chinese","B","68, EAST BROADWAY, New York, NY",NA,NA
"4","THE JUNCTION","329","LEXINGTON AVENUE",10016,"2126827700","American",NA,"329, LEXINGTON AVENUE, New York, NY",-73.9773326,40.7492944
"5","RUFFIAN WINE BAR","125","E 7TH ST",10009,"2127770855","Continental",NA,"125, E 7TH ST, New York, NY",-73.9840819,40.7264335
"6","LA BOITE EN BOIS","75","WEST   68 STREET",10023,"2128742705","French","A","75, WEST   68 STREET, New York, NY",-73.9802596,40.7748986
"7","ANDY'S DELI","291","BROADWAY",10007,"2122274111","American","P","291, BROADWAY, New York, NY",-74.0060729,40.7149162
"8","NUTS.COM","2","PENN STATION",10119,"9179745957","Not Listed/Not Applicable","A","2, PENN STATION, New York, NY",-73.9921939,40.7500759
"9","FRESH & CO","261-267","CANAL ST",10013,"2128670053","American",NA,"261-267, CANAL ST, New York, NY",-74.0010208,40.7190047
"10","POMODORO RISTORANTE","51","SPRING STREET",10012,"2129669229","Pizza/Italian",NA,"51, SPRING STREET, New York, NY",-73.9963862,40.7221166
"11","HAVANA CENTRAL","151","WEST   46 STREET",10036,"2123987440","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","A","151, WEST   46 STREET, New York, NY",-73.9841033,40.7584152
"12","CITY CAFE","35","WEST   43 STREET",10036,"2127640444","Delicatessen",NA,"35, WEST   43 STREET, New York, NY",-73.9819783,40.7550851
"13","STOUT","60","E 41ST ST",10017,"2129229009","American","A","60, E 41ST ST, New York, NY",NA,NA
"14","PAT LAFRIEDA MEAT PURVEYORS","2","PENN PLZ",10121,"2122796328","Sandwiches","A","2, PENN PLZ, New York, NY",-73.9921939,40.7500759
"15","SHANGHAI ASIAN CUISINE","14A","ELIZABETH ST",10013,"2129645640","Chinese",NA,"14A, ELIZABETH ST, New York, NY",-73.9969389,40.7158069
"16","JACK'S STIR BREW COFFEE","222","FRONT STREET",10038,"2122277631","Caf̩/Coffee/Tea","A","222, FRONT STREET, New York, NY",-74.0023126,40.7075822
"17","ESSEN","290","MADISON AVENUE",10017,"2126890800","American","A","290, MADISON AVENUE, New York, NY",-73.980294,40.7518956
"18","THE RIVER CLUB","447","EAST   52 STREET",10022,"2127510100","American",NA,"447, EAST   52 STREET, New York, NY",-73.9632744,40.7544774
"19","CHIRPING CHICKEN","587","9TH AVE",10036,"2122447334","Chicken","A","587, 9TH AVE, New York, NY",-73.9926049,40.7588161
"20","PAUL WEISS RIFKIN WHARTON","1285","6 AVENUE",10019,"2123732423","American",NA,"1285, 6 AVENUE, New York, NY",NA,NA
"21","BUFFALO BOSS","17","W 125TH ST",10027,"7189230800","Chicken",NA,"17, W 125TH ST, New York, NY",-73.9431103,40.8069663
"22","CAPRI BAKERY","186","EAST  116 STREET",10029,"2124101876","Bakery","A","186, EAST  116 STREET, New York, NY",-73.9405047,40.7979864
"23","BAR VIRAGE","118","2 AVENUE",10003,"2122530425","American",NA,"118, 2 AVENUE, New York, NY",NA,NA
"24","PHILLIP MARIE","569","HUDSON STREET",10014,"2122426200","American","A","569, HUDSON STREET, New York, NY",NA,NA
