"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"7201","TASTI D-LITE","523","AMSTERDAM AVE",10024,"Ice Cream, Gelato, Yogurt, Ices"
"7202","NEW HONG WONG SEAFOOD RESTAURANT","100","BOWERY",10013,"Seafood"
"7203","SUTTON PIZZA & GYRO","1140","1 AVENUE",10065,"Pizza"
"7204","CASABIANCA  PIZZA RESTAURANT","503","W 57TH ST",10019,"Pizza/Italian"
"7205","PIER I CAFE","PIER I","WEST 70 STREET",10069,"American"
"7206","CILANTRO","485","COLUMBUS AVENUE",10024,"Mexican"
"7207","KIABACCA PIZZA AND BEER","639","10TH AVE",10036,"American"
"7208","PRET A MANGER","179","BROADWAY",10007,"Sandwiches/Salads/Mixed Buffet"
"7209","ALL ABOUT FOOD","16","EAST   58 STREET",10022,"Delicatessen"
"7210","THE RAWL","212","E 45TH ST",10017,"Asian"
"7211","FLATIRON LOUNGE","37","WEST   19 STREET",10011,"American"
"7212","AARONS CHINESE AND THAI RESTAURANT","338","9TH AVE",10001,"Chinese"
"7213","Kaffe 1668","530","5TH AVE",10036,"Caf̩/Coffee/Tea"
"7214","SUBWAY","334","GRAND STREET",10002,"Sandwiches/Salads/Mixed Buffet"
"7215","JUST SALAD","325","HUDSON ST",10013,"Salads"
"7216","GOHAN","14A","ORCHARD ST",10002,"Japanese"
"7217","LUCKY JACK'S","129","ORCHARD STREET",10002,"American"
"7218","CASA DI ISACCO","536","9 AVENUE",10018,"Italian"
"7219","THE CAPITAL GRILLE","120","WEST   51 STREET",10020,"American"
"7220","PRICE WATERHOUSE CAFETERIA","300","MADISON AVENUE",10017,"American"
"7221","STARBUCKS","750","6 AVENUE",10010,"Caf̩/Coffee/Tea"
"7222","LENWICH","1481","2ND AVE",10075,"American"
"7223","MASALA TIMES","194","BLEECKER STREET",10012,"Indian"
"7224","UPSTATE","95","1 AVENUE",10003,"Seafood"
"7225","CAFE ARTE","74","PEARL ST",10004,"Sandwiches/Salads/Mixed Buffet"
"7226","LTK LITTLE THAI KITCHEN","231","EAST   53 STREET",10022,"Thai"
"7227","STARBUCKS COFFEE COMPANY","969","1ST AVE",10022,"Caf̩/Coffee/Tea"
"7228","PARK AVENUE TAVERN","99","PARK AVENUE",10016,"American"
"7229","CITY SWIGGERS","320","EAST   86 STREET",10028,"American"
"7230","DON FILIPPO RESTAURANT","1133","LEXINGTON AVENUE",10075,"Italian"
"7231","POULETTE","426","AMSTERDAM AVE",10024,"Chicken"
"7232","DRUNKEN MUNKEY","338","E 92ND STREET",10128,"Indian"
"7233","FAIRYTALES LOUNGE","500","WEST   48 STREET",10036,"American"
"7234","GREAT JONES CAFE","54","GREAT JONES ST",10012,"American"
"7235","STARBUCKS","360","LEXINGTON AVENUE",10017,"Caf̩/Coffee/Tea"
"7236","GOOGLE PANORAMA","111","8TH AVE",10011,"American"
"7237","LIQUITERIA","145","4TH AVE",10003,"Juice, Smoothies, Fruit Salads"
"7238","CHEF ALESS","2100","2ND AVE",10029,"French"
"7239","AMY'S BREAD","250","BLEECKER STREET",10014,"Bakery"
"7240","JUST LORRAINE'S PLACE","2247","ADAM CLAYTON POWELL BOULEVARD",10027,"American"
"7241","COACH","10","HUDSON YARDS",10001,"American"
"7242","PRONTO PIZZA","114","LIBERTY STREET",10006,"Pizza"
"7243","TIM HO WAN","85","4TH AVE",10003,"Asian"
"7244","IKINARI STEAK","368","W 46TH ST",10036,"Japanese"
"7245","SAKE BAR SATSKO","202","EAST    7 STREET",10009,"Japanese"
"7246","SEASONED VEGAN","55","ST. NICHOLAS AVENUE",10026,"Vegetarian"
"7247","SHINY TEA NEW YORK","2667","BROADWAY",10025,"Caf̩/Coffee/Tea"
"7248","BOHEMIAN NEW YORK","57","GREAT JONES ST",10012,"Japanese"
"7249","SEL RROSE","1","DELANCEY STREET",10002,"French"
"7250","THE FINANCIER PATISSERIE","43163","World Financial Center",10281,"Caf̩/Coffee/Tea"
"7251","YOAN MING GARDEN","1407","MADISON AVE",10029,"Chinese"
"7252","TASTE OF SHANGHAI HAPPY EATS","42","MOTT ST",10013,"Chinese"
"7253","PAPA JOHN'S","701","WEST  179 STREET",10033,"Pizza"
"7254","ICHIBANTEI","401","E 13TH ST",10009,"Japanese"
"7255","WALTER'S COTTAGE","500","W 43RD ST",10036,"Other"
"7256","FLIP 'N TOSS","82","CHRISTOPHER ST",10014,"American"
"7257","THE GREY DOG","49","CARMINE ST",10014,"American"
"7258","L'ESTUDIO","61","HESTER ST",10002,"American"
